pup,Colony,density_5km,density_15km,density_30km,type,season,season_num,Date___fert,Name,pup_gender,pupSex,pup,FA_pup,pup_weight,comments,parasites,temprature_IMS,date,BMI,group,date_from_peak_spring,gc_numeric,date_from_peak_winter,real_year,age
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,27-Feb-22,,1,M,1,31,16,,1,15.2,237,0.516129032,0,-74,,,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,winter,0,17-Mar-22,,0,F,1,32,23,,1,15.4,255,0.71875,0,-56,,,0,
78,Bnei Brit,551.6719246,884.9337109,1397.122011,rural,spring,1,28-Mar-0023,BB-20,1,M,1,34,18,,0,15,91,0.529411765,1,,,,1,0.017755923
90,Bnei Brit,551.6719246,884.9337109,1397.122011,rural,spring,1,28-Mar-0023,BB-32,0,F,1,34,18,,1,15,91,0.529411765,1,,,,1,0.017755923
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,05-Jul-21,,0,F,1,34,NaN,,NaN,26.3,1,#VALUE!,0,,,-109,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,20-Jul-21,,1,M,1,34,NaN,,NaN,26.4,15,#VALUE!,0,,,-94,0,
146,Bridge,13151.92898,5691.626481,2502.979942,city,spring,1,22-Mar-0023,BR-10,0,F,1,35,22,pup is newborn,3,16.4,85,0.628571429,1,,,,1,0.90555207
148,Bridge,13151.92898,5691.626481,2502.979942,city,spring,1,22-Mar-0023,BR-12,0,F,1,35,20,,2,16.4,85,0.571428571,1,,,,1,0.90555207
143,Bridge,13151.92898,5691.626481,2502.979942,city,spring,1,22-Mar-0023,BR-7,0,F,1,36,20,,1,16.4,85,0.555555556,1,,,,1,1.808594717
,Tinshemet,522.560257,1929.634255,3289.412398,rural,winter,0,14-Apr-22,,0,F,1,36,19,adopting mom for pup who fell,0,18.6,283,0.527777778,0,-29,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,17-Aug-21,,0,F,1,36,NaN,,2,27,43,#VALUE!,0,,,-66,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,17-Mar-22,,1,M,1,36,17,,1,15.6,255,0.472222222,1,-56,,,0,1.808594717
24,Segafim,407.8869522,341.8639742,923.1368704,rural,spring,1,28-Mar-0023,SG-3,1,M,1,37,21,,0,14.8,91,0.567567568,1,,,,1,2.727201511
62,Bnei Brit,551.6719246,884.9337109,1397.122011,rural,spring,1,28-Mar-0023,BB-4,0,F,1,37,18,,1,15,91,0.486486486,1,,,,1,2.727201511
97,Aseret,1432.309575,1242.690028,1489.738816,rural,spring,1,29-Mar-0023,AS-7,0,F,1,37,20,,2,15,92,0.540540541,1,,,,1,2.727201511
105,Aseret,1432.309575,1242.690028,1489.738816,rural,spring,1,29-Mar-0023,AS-15,0,F,1,37,24,,3,15,92,0.648648649,1,,,,1,2.727201511
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,17-Aug-21,,1,M,1,37,NaN,,2,27.4,43,#VALUE!,0,,,-66,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,17-Aug-21,,0,F,1,37,NaN,,0,27.4,43,#VALUE!,0,,,-66,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,winter,0,17-Mar-22,,0,F,1,37,22,,3,15.4,255,0.594594595,0,-56,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,27-Feb-22,,1,M,1,37,19,,2,15.2,237,0.513513514,0,-74,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,17-Mar-22,,0,F,1,37,17,,0,15.6,255,0.459459459,1,-56,,,0,2.727201511
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,17-Mar-22,,1,M,1,37,18,mom has abccess on neck,3,15.6,255,0.486486486,1,-56,,,0,2.727201511
147,Bridge,13151.92898,5691.626481,2502.979942,city,spring,1,22-Mar-0023,BR-11,0,F,1,38,20,,0,16.4,85,0.526315789,1,,,,1,3.662048751
152,Bridge,13151.92898,5691.626481,2502.979942,city,spring,1,22-Mar-0023,BR-16,0,F,1,38,23,,0,16.4,85,0.605263158,1,,,,1,3.662048751
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,20-Jul-21,,0,F,1,38,NaN,,NaN,27.2,15,#VALUE!,0,,,-94,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,02-Aug-21,,1,M,1,38,NaN,,0,27.2,28,#VALUE!,0,,,-66,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,17-Aug-21,,0,F,1,38,NaN,,3,27.4,43,#VALUE!,0,,,-66,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,17-Aug-21,,1,M,1,38,NaN,,0,27.4,43,#VALUE!,0,,,-66,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,winter,0,17-Mar-22,,1,M,1,38,19,,7,15.4,255,0.5,0,-56,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,17-Aug-21,,0,F,1,38,NaN,,0,27,43,#VALUE!,0,,,-66,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,0,F,1,38,NaN,,3,25.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,17-Mar-22,,0,F,1,38,19,,2,15.6,255,0.5,1,-56,,,0,3.662048751
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,17-Mar-22,,0,F,1,38,18,,3,15.6,255,0.473684211,1,-56,,,0,3.662048751
32,Segafim,407.8869522,341.8639742,923.1368704,rural,spring,1,28-Mar-0023,SG-11,1,M,1,39,21,,0,14.8,91,0.538461538,1,,,,1,4.613838533
138,Bridge,13151.92898,5691.626481,2502.979942,city,spring,1,22-Mar-0023,BR-2,1,M,1,39,23,,0,16.4,85,0.58974359,1,,,,1,4.613838533
142,Bridge,13151.92898,5691.626481,2502.979942,city,spring,1,22-Mar-0023,BR-6,1,M,1,39,23,,0,16.4,85,0.58974359,1,,,,1,4.613838533
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,17-Aug-21,,1,M,1,39,NaN,,3,27.4,43,#VALUE!,0,,,-66,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,27-Feb-22,,1,M,1,39,21,,2,15.2,237,0.538461538,0,-74,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,17-Mar-22,,0,F,1,39,17,,6,15.6,255,0.435897436,1,-56,,,0,4.613838533
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,17-Mar-22,,0,F,1,39,18,,1,15.6,255,0.461538462,1,-56,,,0,4.613838533
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,17-Mar-22,,0,F,1,39,19,,4,15.6,255,0.487179487,1,-56,,,0,4.613838533
37,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,06-Apr-0023,TS-1,1,M,1,40,20,,5,21,101,0.5,1,,,,1,5.583299851
103,Aseret,1432.309575,1242.690028,1489.738816,rural,spring,1,29-Mar-0023,AS-13,0,F,1,40,24,,2,15,92,0.6,1,,,,1,5.583299851
104,Aseret,1432.309575,1242.690028,1489.738816,rural,spring,1,29-Mar-0023,AS-14,1,M,1,40,22,,2,15,92,0.55,1,,,,1,5.583299851
109,Aseret,1432.309575,1242.690028,1489.738816,rural,spring,1,29-Mar-0023,AS-19,1,M,1,40,21,,2,15,92,0.525,1,,,,1,5.583299851
137,Bridge,13151.92898,5691.626481,2502.979942,city,spring,1,22-Mar-0023,BR-1,1,M,1,40,25,,3,16.4,85,0.625,1,,,,1,5.583299851
155,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,1,26-Mar-0023,JF -3,0,F,1,40,31,,2,16,89,0.775,1,,,,1,5.583299851
180,Shontsino,12809.91532,5427.677893,2474.556445,city,spring,1,26-Mar-0023,SH-6,0,F,1,40,22,,0,16.4,89,0.55,1,,,,1,5.583299851
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,05-Jul-21,,0,F,1,40,NaN,,NaN,24.9,1,#VALUE!,0,,,-109,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,17-Aug-21,,1,M,1,40,NaN,,10,27.4,43,#VALUE!,0,,,-66,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,winter,0,17-Mar-22,,1,M,1,40,24,,3,15.4,255,0.6,0,-56,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,02-Aug-21,,1,M,1,40,NaN,,NaN,26.8,28,#VALUE!,0,,,-80,0,
27,Segafim,407.8869522,341.8639742,923.1368704,rural,spring,1,28-Mar-0023,SG-6,1,M,1,41,24,,3,14.8,91,0.585365854,1,,,,1,6.571189765
31,Segafim,407.8869522,341.8639742,923.1368704,rural,spring,1,28-Mar-0023,SG-10,0,F,1,41,19,,0,14.8,91,0.463414634,1,,,,1,6.571189765
52,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,06-Apr-0023,TS-16,1,M,1,41,23,,2,21,101,0.56097561,1,,,,1,6.571189765
141,Bridge,13151.92898,5691.626481,2502.979942,city,spring,1,22-Mar-0023,BR-5,1,M,1,41,26,,3,16.4,85,0.634146341,1,,,,1,6.571189765
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,02-Aug-21,,1,M,1,41,NaN,,10,27.2,28,#VALUE!,0,,,-66,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,17-Aug-21,,1,M,1,41,NaN,,1,27,43,#VALUE!,0,,,-66,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,17-Mar-22,,1,M,1,41,20,,2,15.6,255,0.487804878,1,-56,,,0,6.571189765
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,05-Jul-22,,0,F,1,41,27,,0,26.3,365,0.658536585,0,,,,0,
28,Segafim,407.8869522,341.8639742,923.1368704,rural,spring,1,28-Mar-0023,SG-7,1,M,1,42,29,,0,14.8,91,0.69047619,1,,,,1,7.578294616
30,Segafim,407.8869522,341.8639742,923.1368704,rural,spring,1,28-Mar-0023,SG-9,1,M,1,42,23,,2,14.8,91,0.547619048,1,,,,1,7.578294616
96,Aseret,1432.309575,1242.690028,1489.738816,rural,spring,1,29-Mar-0023,AS-6,1,M,1,42,23,,0,15,92,0.547619048,1,,,,1,7.578294616
107,Aseret,1432.309575,1242.690028,1489.738816,rural,spring,1,29-Mar-0023,AS-17,1,M,1,42,28,,2,15,92,0.666666667,1,,,,1,7.578294616
139,Bridge,13151.92898,5691.626481,2502.979942,city,spring,1,22-Mar-0023,BR-3,1,M,1,42,24,,6,16.4,85,0.571428571,1,,,,1,7.578294616
145,Bridge,13151.92898,5691.626481,2502.979942,city,spring,1,22-Mar-0023,BR-9,1,M,1,42,24,,0,16.4,85,0.571428571,1,,,,1,7.578294616
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,05-Jul-21,,1,M,1,42,NaN,,NaN,24.9,1,#VALUE!,0,,,-109,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,0,F,1,42,NaN,,4,27.4,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,17-Aug-21,,0,F,1,42,NaN,recapture,0,27,43,#VALUE!,0,,,-66,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,17-Mar-22,,0,F,1,42,17,,1,15.6,255,0.404761905,1,-56,,,0,7.578294616
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,17-Mar-22,,1,M,1,42,18,,0,15.6,255,0.428571429,1,-56,,,0,7.578294616
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,17-Mar-22,,1,M,1,42,18,,2,15.6,255,0.428571429,1,-56,,,0,7.578294616
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,05-Jul-22,,1,M,1,42,25,,0,26.3,365,0.595238095,0,,,,0,
171,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,1,26-Mar-0023,JF -20,0,F,1,43,30,,3,16,89,0.697674419,1,,,,1,8.60543131
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,17-Aug-21,,1,M,1,43,NaN,,0,27,43,#VALUE!,0,,,-66,0,
101,Aseret,1432.309575,1242.690028,1489.738816,rural,spring,1,29-Mar-0023,AS-11,1,M,1,44,27,,2,15,92,0.613636364,1,,,,1,9.653448669
144,Bridge,13151.92898,5691.626481,2502.979942,city,spring,1,22-Mar-0023,BR-8,1,M,1,44,25,,1,16.4,85,0.568181818,1,,,,1,9.653448669
157,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,1,26-Mar-0023,JF -5,1,M,1,44,27,,3,16,89,0.613636364,1,,,,1,9.653448669
164,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,1,26-Mar-0023,JF -13,1,M,1,44,23,,2,16,89,0.522727273,1,,,,1,9.653448669
175,Shontsino,12809.91532,5427.677893,2474.556445,city,spring,1,26-Mar-0023,SH-1,1,M,1,44,28,,5,16.4,89,0.636363636,1,,,,1,9.653448669
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,05-Jul-22,,1,M,1,44,31,,2,24.9,365,0.704545455,0,,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,0,F,1,44,NaN,,0,25.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,17-Mar-22,,1,M,1,44,22,,1,15.6,255,0.5,1,-56,,,0,9.653448669
91,Aseret,1432.309575,1242.690028,1489.738816,rural,spring,1,29-Mar-0023,AS-1,1,M,1,45,24,,1,15,92,0.533333333,1,,,,1,10.72322885
176,Shontsino,12809.91532,5427.677893,2474.556445,city,spring,1,26-Mar-0023,SH-2,0,F,1,45,26,,0,16.4,89,0.577777778,1,,,,1,10.72322885
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,02-Aug-21,,0,F,1,45,NaN,,7,27.2,28,#VALUE!,0,,,-66,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,20-Jul-21,,0,F,1,45,NaN,,NaN,26.4,15,#VALUE!,0,,,-94,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,1,M,1,45,NaN,,0,26.8,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,0,F,1,45,NaN,,0,26.8,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,05-Jul-22,,0,F,1,45,89,,2,26.3,365,1.977777778,0,,,,0,
25,Segafim,407.8869522,341.8639742,923.1368704,rural,spring,1,28-Mar-0023,SG-4,0,F,1,46,27,,1,14.8,91,0.586956522,1,,,,1,11.81568886
44,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,06-Apr-0023,TS-8,0,F,1,46,25,,3,21,101,0.543478261,1,,,,1,11.81568886
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,1,M,1,46,NaN,,3,27.4,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,20-Jul-21,,0,F,1,46,NaN,,NaN,26.4,15,#VALUE!,0,,,-94,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,0,F,1,47,NaN,,0,25.5,71,#VALUE!,0,,,-37,0,
40,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,06-Apr-0023,TS-4,1,M,1,48,26,,2,21,101,0.541666667,1,,,,1,14.07395032
43,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,06-Apr-0023,TS-7,0,F,1,48,23,,1,21,101,0.479166667,1,,,,1,14.07395032
102,Aseret,1432.309575,1242.690028,1489.738816,rural,spring,1,29-Mar-0023,AS-12,0,F,1,48,31,,0,15,92,0.645833333,1,,,,1,14.07395032
167,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,1,26-Mar-0023,JF -16,1,M,1,48,30,,1,16,89,0.625,1,,,,1,14.07395032
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,1,M,1,48,NaN,,0,26.8,56,#VALUE!,0,,,-52,0,
42,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,06-Apr-0023,TS-6,0,F,1,49,28,,4,21,101,0.571428571,1,,,,1,15.2436691
47,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,06-Apr-0023,TS-11,1,M,1,49,29,,9,21,101,0.591836735,1,,,,1,15.2436691
182,Shontsino,12809.91532,5427.677893,2474.556445,city,spring,1,26-Mar-0023,SH-8,0,F,1,49,31,,2,16.4,89,0.632653061,1,,,,1,15.2436691
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,20-Jul-21,,1,M,1,49,NaN,,NaN,27.2,15,#VALUE!,0,,,-94,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,17-Aug-21,,1,M,1,49,NaN,,9,27.4,43,#VALUE!,0,,,-66,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,winter,0,14-Apr-22,,0,F,1,49,24.6,,1,18.6,283,0.502040816,0,-29,,,0,
94,Aseret,1432.309575,1242.690028,1489.738816,rural,spring,1,29-Mar-0023,AS-4,0,F,1,50,27,,3,15,92,0.54,1,,,,1,16.44067922
174,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,1,26-Mar-0023,JF -23,1,M,1,50,33,,1,16,89,0.66,1,,,,1,16.44067922
181,Shontsino,12809.91532,5427.677893,2474.556445,city,spring,1,26-Mar-0023,SH-7,1,M,1,50,30,,2,16.4,89,0.6,1,,,,1,16.44067922
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,0,F,1,50,NaN,,3,27.4,56,#VALUE!,0,,,-52,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,1,M,1,50,NaN,,2,27.4,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,1,M,1,50,NaN,recapture from 02/08/21,1,25.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,13-Apr-22,,1,M,1,50,28,,0,17.4,282,0.56,0,-29,,,0,
166,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,1,26-Mar-0023,JF -15,1,M,1,51,37,,8,16,89,0.725490196,1,,,,1,17.66612656
170,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,1,26-Mar-0023,JF -19,0,F,1,51,28,,1,16,89,0.549019608,1,,,,1,17.66612656
172,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,1,26-Mar-0023,JF -21,1,M,1,51,35,,1,16,89,0.68627451,1,,,,1,17.66612656
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,17-Aug-21,,1,M,1,51,NaN,,0,27,43,#VALUE!,0,,,-66,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,13-Apr-22,,0,F,1,51,26,,2,17.4,282,0.509803922,0,-29,,,0,
163,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,1,26-Mar-0023,JF -11,1,M,1,52,32,,4,16,89,0.615384615,1,,,,1,18.92120419
165,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,1,26-Mar-0023,JF -14,0,F,1,52,31,,4,16,89,0.596153846,1,,,,1,18.92120419
173,Jaffa,14071.62687,6183.392671,2619.763597,city,spring,1,26-Mar-0023,JF -22,1,M,1,52,29,,1,16,89,0.557692308,1,,,,1,18.92120419
178,Shontsino,12809.91532,5427.677893,2474.556445,city,spring,1,26-Mar-0023,SH-4,0,F,1,52,31,,0,16.4,89,0.596153846,1,,,,1,18.92120419
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,0,F,1,52,NaN,,0,27.4,56,#VALUE!,0,,,-52,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,winter,0,14-Apr-22,,1,M,1,52,32.2,,2,18.6,283,0.619230769,0,-29,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,17-Aug-21,,1,M,1,52,NaN,,0,27,43,#VALUE!,0,,,-66,0,
179,Shontsino,12809.91532,5427.677893,2474.556445,city,spring,1,26-Mar-0023,SH-5,0,F,1,53,29,,1,16.4,89,0.547169811,1,,,,1,20.21139046
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,02-Aug-21,,1,M,1,53,NaN,,0,27.2,28,#VALUE!,0,,,-66,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,1,M,1,53,NaN,,3,27.4,56,#VALUE!,0,,,-52,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,0,F,1,53,NaN,,0,27.4,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,17-Aug-21,,0,F,1,53,NaN,,0,27,43,#VALUE!,0,,,-66,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,1,M,1,53,NaN,,0,26.8,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,0,F,1,53,NaN,,1,25.5,71,#VALUE!,0,,,-37,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,1,M,1,54,NaN,,2,27.4,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,13-Apr-22,,1,M,1,54,33,,1,17.4,282,0.611111111,0,-29,,,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,1,M,1,55,NaN,,1,27.4,56,#VALUE!,0,,,-52,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,winter,0,14-Apr-22,,1,M,1,55,30,,0,18.6,283,0.545454545,0,-29,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,20-Jul-21,,0,F,1,55,NaN,,NaN,26.4,15,#VALUE!,0,,,-94,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,13-Apr-22,,0,F,1,55,26,,0,17.4,282,0.472727273,0,-29,,,0,
