pup,Colony,density_5km,density_15km,density_30km,type,season,season_num,Date___fert,Name,pup_gender,pupSex,pup,FA_pup,pup_weight,comments,parasites,temprature_IMS,date,BMI,group,date_from_peak_spring,gc_numeric,date_from_peak_winter,real_year,age
136,Dizengof center,12950.51342,5850.369695,2565.481855,city,spring,1,31-Mar-0023,CR-27,0,F,1,56,28,,2,17,94,0.5,1,,,,1,24.29562571
177,Shontsino,12809.91532,5427.677893,2474.556445,city,spring,1,26-Mar-0023,SH-3,0,F,1,56,34,,2,16.4,89,0.607142857,1,,,,1,24.29562571
,Tinshemet,522.560257,1929.634255,3289.412398,rural,winter,0,14-Apr-22,,0,F,1,56,29,,1,18.6,283,0.517857143,0,-29,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,20-Jul-21,,1,M,1,56,NaN,,NaN,26.4,15,#VALUE!,0,,,-94,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,0,F,1,56,NaN,,0,26.8,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,1,M,1,56,NaN,,0,25.5,71,#VALUE!,0,,,-37,0,
122,Dizengof center,12950.51342,5850.369695,2565.481855,city,spring,1,31-Mar-0023,CR-13,0,F,1,57,36,,1,17,94,0.631578947,1,,,,1,25.73650351
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,0,F,1,57,NaN,,1,27.4,56,#VALUE!,0,,,-52,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,14-Sep-21,,1,M,1,57,NaN,,0,26.5,71,#VALUE!,0,,,-37,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,05-Jul-22,,0,F,1,57,38,,1,24.9,365,0.666666667,0,,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,17-Aug-21,,0,F,1,57,NaN,,0,27,43,#VALUE!,0,,,-66,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,17-Aug-21,,1,M,1,57,NaN,,0,27,43,#VALUE!,0,,,-66,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,1,M,1,57,NaN,,0,26.8,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,13-Apr-22,,0,F,1,57,33,,1,17.4,282,0.578947368,0,-29,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,05-Jul-22,,0,F,1,57,36,,0,26.3,365,0.631578947,0,,,,0,
111,Dizengof center,12950.51342,5850.369695,2565.481855,city,spring,1,31-Mar-0023,CR-2,0,F,1,58,28,,2,17,94,0.482758621,1,,,,1,27.22162628
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,05-Jul-21,,0,F,1,58,NaN,,NaN,24.9,1,#VALUE!,0,,,-109,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,02-Aug-21,,1,M,1,58,NaN,,10,27.2,28,#VALUE!,0,,,-66,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,14-Sep-21,,0,F,1,58,NaN,,9,26.5,71,#VALUE!,0,,,-37,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,14-Sep-21,,0,F,1,58,NaN,,3,26.5,71,#VALUE!,0,,,-37,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,14-Sep-21,,1,M,1,58,NaN,,0,26.5,71,#VALUE!,0,,,-37,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,winter,0,14-Apr-22,,0,F,1,58,32,,1,18.6,283,0.551724138,0,-29,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,02-Aug-21,,1,M,1,59,NaN,recapture Anita,0,26.8,28,#VALUE!,0,,,-80,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,1,M,1,59,NaN,,1,25.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,12-May-22,,0,F,1,59,36,,1,21.1,311,0.610169492,0,0,,,0,
133,Dizengof center,12950.51342,5850.369695,2565.481855,city,spring,1,31-Mar-0023,CR-24,1,M,1,60,37,,1,17,94,0.616666667,1,,,,1,30.33880217
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,20-Jul-21,,1,M,1,60,NaN,,NaN,27.2,15,#VALUE!,0,,,-94,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,20-Jul-21,,0,F,1,60,NaN,,NaN,26.4,15,#VALUE!,0,,,-94,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,17-Aug-21,,0,F,1,60,NaN,recapture  5/07/21,0,27,43,#VALUE!,0,,,-66,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,05-Jul-22,,0,F,1,60,33,,0,26.3,365,0.55,0,,,,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,1,M,1,61,NaN,,2,27.4,56,#VALUE!,0,,,-52,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,14-Sep-21,,0,F,1,61,NaN,,9,26.5,71,#VALUE!,0,,,-37,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,14-Sep-21,,0,F,1,61,NaN,,2,26.5,71,#VALUE!,0,,,-37,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,14-Sep-21,,0,F,1,61,NaN,,1,26.5,71,#VALUE!,0,,,-37,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,05-Jul-22,,0,F,1,61,41,,2,24.9,365,0.672131148,0,,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,1,M,1,61,NaN,,1,26.8,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,13-Apr-22,,1,M,1,61,34,,2,17.4,282,0.557377049,0,-29,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,13-Apr-22,,0,F,1,61,36,,3,17.4,282,0.590163934,0,-29,,,0,
110,Dizengof center,12950.51342,5850.369695,2565.481855,city,spring,1,31-Mar-0023,CR-1,0,F,1,62,40,,1,17,94,0.64516129,1,,,,1,33.67543948
113,Dizengof center,12950.51342,5850.369695,2565.481855,city,spring,1,31-Mar-0023,CR-4,0,F,1,62,36,,2,17,94,0.580645161,1,,,,1,33.67543948
115,Dizengof center,12950.51342,5850.369695,2565.481855,city,spring,1,31-Mar-0023,CR-6,0,F,1,62,30,,0,17,94,0.483870968,1,,,,1,33.67543948
135,Dizengof center,12950.51342,5850.369695,2565.481855,city,spring,1,31-Mar-0023,CR-26,1,M,1,62,35,,4,17,94,0.564516129,1,,,,1,33.67543948
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,20-Jul-21,,1,M,1,62,NaN,,NaN,27.2,15,#VALUE!,0,,,-94,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,02-Aug-21,,0,F,1,62,NaN,,0,27.2,28,#VALUE!,0,,,-66,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,0,F,1,62,NaN,,2,27.4,56,#VALUE!,0,,,-52,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,14-Sep-21,,0,F,1,62,NaN,,5,26.5,71,#VALUE!,0,,,-37,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,14-Sep-21,,0,F,1,62,NaN,,1,26.5,71,#VALUE!,0,,,-37,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,14-Sep-21,,0,F,1,62,NaN,,3,26.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,0,F,1,62,NaN,,1,26.8,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,13-Apr-22,,1,M,1,62,39,,3,17.4,282,0.629032258,0,-29,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,13-Apr-22,,1,M,1,62,39,,0,17.4,282,0.629032258,0,-29,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,05-Jul-22,,0,F,1,62,39,,0,26.3,365,0.629032258,0,,,,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,20-Jul-21,,0,F,1,63,NaN,,NaN,27.2,15,#VALUE!,0,,,-94,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,14-Sep-21,,0,F,1,63,NaN,,9,26.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,1,M,1,63,NaN,,1,26.8,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,0,F,1,63,NaN,,0,26.8,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,21-Oct-21,,0,F,1,63,31,went to yomi and chans,0,22.8,108,0.492063492,0,,,0,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,13-Apr-22,,1,M,1,63,41,,2,17.4,282,0.650793651,0,-29,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,05-Jul-22,,0,F,1,63,40,,0,26.3,365,0.634920635,0,,,,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,1,M,1,64,NaN,,0,27.4,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,05-Jul-21,,0,F,1,64,NaN,,NaN,26.3,1,#VALUE!,0,,,-109,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,02-Aug-21,,0,F,1,64,NaN,"recapture, lee's milk exp",0,26.8,28,#VALUE!,0,,,-80,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,0,F,1,64,NaN,,0,26.8,56,#VALUE!,0,,,-52,0,
125,Dizengof center,12950.51342,5850.369695,2565.481855,city,spring,1,31-Mar-0023,CR-16,1,M,1,65,40,,3,17,94,0.615384615,1,,,,1,39.17814628
127,Dizengof center,12950.51342,5850.369695,2565.481855,city,spring,1,31-Mar-0023,CR-18,1,M,1,65,37,,3,17,94,0.569230769,1,,,,1,39.17814628
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,14-Sep-21,,0,F,1,65,NaN,,7,26.5,71,#VALUE!,0,,,-37,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,14-Sep-21,,0,F,1,65,NaN,,7,26.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,1,M,1,65,NaN,,0,26.8,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,13-Apr-22,,1,M,1,65,37,,1,17.4,282,0.569230769,0,-29,,,0,
120,Dizengof center,12950.51342,5850.369695,2565.481855,city,spring,1,31-Mar-0023,CR-11,1,M,1,66,41,,2,17,94,0.621212121,1,,,,1,41.17116329
130,Dizengof center,12950.51342,5850.369695,2565.481855,city,spring,1,31-Mar-0023,CR-21,1,M,1,66,40,,1,17,94,0.606060606,1,,,,1,41.17116329
131,Dizengof center,12950.51342,5850.369695,2565.481855,city,spring,1,31-Mar-0023,CR-22,0,F,1,66,33,,2,17,94,0.5,1,,,,1,41.17116329
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,02-Aug-21,,0,F,1,66,NaN,,6,27.2,28,#VALUE!,0,,,-66,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,21-Oct-21,,1,M,1,66,39,,6,22.8,108,0.590909091,0,,,0,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,02-Aug-21,,1,M,1,66,NaN,,0,26.8,28,#VALUE!,0,,,-80,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,1,M,1,66,NaN,,0,26.8,56,#VALUE!,0,,,-52,0,
117,Dizengof center,12950.51342,5850.369695,2565.481855,city,spring,1,31-Mar-0023,CR-8,1,M,1,67,46,,2,17,94,0.686567164,1,,,,1,43.25783124
129,Dizengof center,12950.51342,5850.369695,2565.481855,city,spring,1,31-Mar-0023,CR-20,0,F,1,67,30,,2,17,94,0.447761194,1,,,,1,43.25783124
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,1,M,1,67,NaN,,4,27.4,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,1,M,1,67,NaN,,0,25.5,71,#VALUE!,0,,,-37,0,
121,Dizengof center,12950.51342,5850.369695,2565.481855,city,spring,1,31-Mar-0023,CR-12,0,F,1,68,43,,1,17,94,0.632352941,1,,,,1,45.44808539
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,02-Aug-21,,1,M,1,68,NaN,,14,27.2,28,#VALUE!,0,,,-66,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,17-Aug-21,,1,M,1,68,NaN,,3,27.4,43,#VALUE!,0,,,-66,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,winter,0,12-May-22,,0,F,1,68,46,,0,22.3,311,0.676470588,0,0,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,02-Aug-21,,1,M,1,68,NaN,,0,26.8,28,#VALUE!,0,,,-80,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,1,M,1,68,NaN,,0,25.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,1,M,1,68,NaN,,0,25.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,21-Oct-21,,0,F,1,68,42,went to yomi and chans,0,22.8,108,0.617647059,0,,,0,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,05-Jul-22,,1,M,1,68,42,,2,26.3,365,0.617647059,0,,,,0,
118,Dizengof center,12950.51342,5850.369695,2565.481855,city,spring,1,31-Mar-0023,CR-9,1,M,1,69,44,,3,17,94,0.637681159,1,,,,1,45.25783124
124,Dizengof center,12950.51342,5850.369695,2565.481855,city,spring,1,31-Mar-0023,CR-15,1,M,1,69,44,,2,17,94,0.637681159,1,,,,1,45.25783124
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,05-Jul-21,,1,M,1,69,42,,NaN,24.9,1,0.608695652,0,,,-109,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,0,F,1,69,NaN,,2,27.4,56,#VALUE!,0,,,-52,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,14-Sep-21,,1,M,1,69,NaN,,2,26.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,1,M,1,69,NaN,,0,26.8,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,1,M,1,69,NaN,,1,25.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,0,F,1,69,NaN,,4,25.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,12-May-22,,0,F,1,69,43,,2,21.1,311,0.623188406,0,0,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,17-Aug-21,,0,F,1,70,NaN,"recapture, nessims mom",0,27,43,#VALUE!,0,,,-66,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,1,M,1,70,NaN,,0,26.8,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,1,M,1,70,NaN,,0,26.8,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,1,M,1,70,NaN,,1,25.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,1,M,1,70,NaN,,0,25.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,12-May-22,,1,M,1,70,43,pup can fly,4,21.1,311,0.614285714,0,0,,,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,02-Aug-21,,0,F,1,71,NaN,,8,27.2,28,#VALUE!,0,,,-66,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,0,F,1,71,NaN,,6,27.4,56,#VALUE!,0,,,-52,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,14-Sep-21,,0,F,1,71,NaN,,0,26.5,71,#VALUE!,0,,,-37,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,05-Jul-22,,1,M,1,71,48,,5,24.9,365,0.676056338,0,,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,02-Aug-21,,1,M,1,71,NaN,,0,26.8,28,#VALUE!,0,,,-80,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,0,F,1,71,NaN,,0,26.8,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,1,M,1,71,NaN,,0,26.8,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,0,F,1,71,NaN,,0,25.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,02-Aug-21,,1,M,1,72,NaN,,0,26.8,28,#VALUE!,0,,,-80,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,0,F,1,72,NaN,,1,25.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,21-Oct-21,,0,F,1,72,43,went to yomi and chans,4,22.8,108,0.597222222,0,,,0,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,05-Jul-22,,1,M,1,72,47,,1,26.3,365,0.652777778,0,,,,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,17-Aug-21,,1,M,1,73,NaN,,0,27.4,43,#VALUE!,0,,,-66,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,14-Sep-21,,1,M,1,73,NaN,,2,26.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,17-Aug-21,,0,F,1,73,NaN,,0,27,43,#VALUE!,0,,,-66,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,17-Aug-21,,1,M,1,73,NaN,,2,27,43,#VALUE!,0,,,-66,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,0,F,1,73,NaN,,0,26.8,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,0,F,1,73,NaN,,0,26.8,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,1,M,1,73,NaN,,0,25.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,0,F,1,73,NaN,,3,25.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,12-May-22,,1,M,1,73,48,,2,21.1,311,0.657534247,0,0,,,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,17-Aug-21,,1,M,1,74,NaN,,0,27.4,43,#VALUE!,0,,,-66,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,1,M,1,74,NaN,,2,27.4,56,#VALUE!,0,,,-52,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,14-Sep-21,,0,F,1,74,NaN,,6,26.5,71,#VALUE!,0,,,-37,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,14-Sep-21,,1,M,1,74,NaN,,2,26.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,02-Aug-21,,1,M,1,74,NaN,,0,26.8,28,#VALUE!,0,,,-80,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,1,M,1,74,NaN,,0,26.8,56,#VALUE!,0,,,-52,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,17-Aug-21,,1,M,1,75,NaN,,0,27.4,43,#VALUE!,0,,,-66,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,30-Aug-21,,0,F,1,75,NaN,,6,27.4,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,17-Aug-21,,0,F,1,75,NaN,,1,27,43,#VALUE!,0,,,-66,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,1,M,1,75,NaN,,3,25.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,1,M,1,75,NaN,one eye,8,25.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,21-Oct-21,,1,M,1,75,50,went to yomi and chans,0,22.8,108,0.666666667,0,,,0,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,02-Aug-21,,1,M,1,76,NaN,,1,27.2,28,#VALUE!,0,,,-66,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,17-Aug-21,,1,M,1,76,NaN,,3,27.4,43,#VALUE!,0,,,-66,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,21-Oct-21,,0,F,1,76,56,,2,22.8,108,0.736842105,0,,,0,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,0,F,1,76,NaN,,0,26.8,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,0,F,1,76,NaN,,1,26.8,56,#VALUE!,0,,,-52,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,14-Sep-21,,1,M,1,76,NaN,,0,25.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,21-Oct-21,,1,M,1,76,50,went to yomi and chans,2,22.8,108,0.657894737,0,,,0,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,21-Oct-21,,0,F,1,76,52,ran out of chips,0,22.8,108,0.684210526,0,,,0,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,14-Sep-21,,1,M,1,78,NaN,,2,26.5,71,#VALUE!,0,,,-37,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,30-Aug-21,,0,F,1,80,NaN,"recapture, nesims mom",2,26.8,56,#VALUE!,0,,,-52,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,1,05-Jul-22,,0,F,1,NaN,NaN,,2,24.9,365,#VALUE!,0,,,,0,
,Herzeliya,4212.3,4861.1,2455.9,city,spring,1,02-Aug-21,,0,F,1,NaN,NaN,,2,26.8,28,#VALUE!,0,,,-80,0,
,Herzeliya,4212.3,4861.1,2455.9,city,winter,0,12-May-22,,0,F,1,NaN,NaN,pup flew away,1,21.1,311,#VALUE!,0,0,,,0,
